	ResponseID	OrganismID	LogcVar	TObs	MatrixID	In_on	Temperature	PropertyID	ID	Time	Value_y
71	43339	lm	5.28	360.0	beef	ground beef	10.0	exp_inoculated	2851	24.0	4.48
72	43339	lm	5.28	360.0	beef	ground beef	10.0	exp_inoculated	2852	41.0	6.21
73	43339	lm	5.28	360.0	beef	ground beef	10.0	exp_inoculated	2853	48.0	6.36
74	43339	lm	5.28	360.0	beef	ground beef	10.0	exp_inoculated	2854	168.0	7.44
75	43339	lm	5.28	360.0	beef	ground beef	10.0	exp_inoculated	2855	185.0	9.76
76	43339	lm	5.28	360.0	beef	ground beef	10.0	exp_inoculated	2856	192.0	7.5
77	43339	lm	5.28	360.0	beef	ground beef	10.0	exp_inoculated	2857	216.0	7.79
78	43339	lm	5.28	360.0	beef	ground beef	10.0	exp_inoculated	2858	240.0	9.4
79	43339	lm	5.28	360.0	beef	ground beef	10.0	exp_inoculated	2859	312.0	8.95
80	43339	lm	5.28	360.0	beef	ground beef	10.0	exp_inoculated	2860	336.0	9.06
81	43339	lm	5.28	360.0	beef	ground beef	10.0	exp_inoculated	2861	360.0	9.25
82	122	lm	1.801	480.0	beef	ground beef	3.0	Other	2994	0.0	4.87
83	122	lm	1.801	480.0	beef	ground beef	3.0	Other	2995	48.0	3.91
84	122	lm	1.801	480.0	beef	ground beef	3.0	Other	2996	96.0	4.15
85	122	lm	1.801	480.0	beef	ground beef	3.0	Other	2997	144.0	4.2
86	122	lm	1.801	480.0	beef	ground beef	3.0	Other	2998	168.0	4.3
87	122	lm	1.801	480.0	beef	ground beef	3.0	Other	2999	216.0	4.3
88	122	lm	1.801	480.0	beef	ground beef	3.0	Other	3000	240.0	4.41
89	122	lm	1.801	480.0	beef	ground beef	3.0	Other	3001	264.0	4.51
90	122	lm	1.801	480.0	beef	ground beef	3.0	Other	3002	288.0	4.64
91	122	lm	1.801	480.0	beef	ground beef	3.0	Other	3003	312.0	4.59
92	122	lm	1.801	480.0	beef	ground beef	3.0	Other	3004	336.0	4.53
93	122	lm	1.801	480.0	beef	ground beef	3.0	Other	3005	408.0	5.0
94	122	lm	1.801	480.0	beef	ground beef	3.0	Other	3006	432.0	4.97
95	122	lm	1.801	480.0	beef	ground beef	3.0	Other	3007	456.0	3.58
96	122	lm	1.801	480.0	beef	ground beef	3.0	Other	3008	480.0	5.38
97	123	lm	1.537	480.0	beef	ground beef	3.0	Other	3144	0.0	4.62
98	123	lm	1.537	480.0	beef	ground beef	3.0	Other	3145	48.0	3.95
99	123	lm	1.537	480.0	beef	ground beef	3.0	Other	3146	96.0	4.3
100	123	lm	1.537	480.0	beef	ground beef	3.0	Other	3147	144.0	4.3
101	123	lm	1.537	480.0	beef	ground beef	3.0	Other	3148	168.0	4.38
102	123	lm	1.537	480.0	beef	ground beef	3.0	Other	3149	216.0	4.45
103	123	lm	1.537	480.0	beef	ground beef	3.0	Other	3150	240.0	4.43
104	123	lm	1.537	480.0	beef	ground beef	3.0	Other	3151	264.0	4.52
105	123	lm	1.537	480.0	beef	ground beef	3.0	Other	3152	288.0	4.61
106	123	lm	1.537	480.0	beef	ground beef	3.0	Other	3153	312.0	4.62
107	123	lm	1.537	480.0	beef	ground beef	3.0	Other	3154	336.0	4.58
108	123	lm	1.537	480.0	beef	ground beef	3.0	Other	3155	408.0	4.91
109	123	lm	1.537	480.0	beef	ground beef	3.0	Other	3156	432.0	4.9
110	123	lm	1.537	480.0	beef	ground beef	3.0	Other	3157	456.0	5.49
111	123	lm	1.537	480.0	beef	ground beef	3.0	Other	3158	480.0	5.46
112	124	lm	1.802	480.0	beef	ground beef	3.0	Other	3285	0.0	4.7
113	124	lm	1.802	480.0	beef	ground beef	3.0	Other	3286	48.0	4.08
114	124	lm	1.802	480.0	beef	ground beef	3.0	Other	3287	96.0	4.15
115	124	lm	1.802	480.0	beef	ground beef	3.0	Other	3288	144.0	4.23
116	124	lm	1.802	480.0	beef	ground beef	3.0	Other	3289	168.0	4.28
117	124	lm	1.802	480.0	beef	ground beef	3.0	Other	3290	216.0	3.78
118	124	lm	1.802	480.0	beef	ground beef	3.0	Other	3291	240.0	4.48
119	124	lm	1.802	480.0	beef	ground beef	3.0	Other	3292	264.0	4.66
120	124	lm	1.802	480.0	beef	ground beef	3.0	Other	3293	288.0	4.57
121	124	lm	1.802	480.0	beef	ground beef	3.0	Other	3294	312.0	4.6
122	124	lm	1.802	480.0	beef	ground beef	3.0	Other	3295	336.0	4.66
123	124	lm	1.802	480.0	beef	ground beef	3.0	Other	3296	408.0	4.93
124	124	lm	1.802	480.0	beef	ground beef	3.0	Other	3297	432.0	4.9
125	124	lm	1.802	480.0	beef	ground beef	3.0	Other	3298	456.0	5.58
126	124	lm	1.802	480.0	beef	ground beef	3.0	Other	3299	480.0	5.08
127	125	lm	0.7338	480.0	beef	ground beef	3.0	exp_inoculated	3300	0.0	4.08
128	125	lm	0.7338	480.0	beef	ground beef	3.0	exp_inoculated	3301	48.0	4.72
129	125	lm	0.7338	480.0	beef	ground beef	3.0	exp_inoculated	3302	96.0	4.72
130	125	lm	0.7338	480.0	beef	ground beef	3.0	exp_inoculated	3303	144.0	4.75
131	125	lm	0.7338	480.0	beef	ground beef	3.0	exp_inoculated	3304	168.0	4.78
132	125	lm	0.7338	480.0	beef	ground beef	3.0	exp_inoculated	3305	216.0	4.72
133	125	lm	0.7338	480.0	beef	ground beef	3.0	exp_inoculated	3306	240.0	4.74
134	125	lm	0.7338	480.0	beef	ground beef	3.0	exp_inoculated	3307	264.0	4.7
135	125	lm	0.7338	480.0	beef	ground beef	3.0	exp_inoculated	3308	288.0	4.7
136	125	lm	0.7338	480.0	beef	ground beef	3.0	exp_inoculated	3309	312.0	4.73
137	125	lm	0.7338	480.0	beef	ground beef	3.0	exp_inoculated	3310	336.0	4.73
138	125	lm	0.7338	480.0	beef	ground beef	3.0	exp_inoculated	3311	408.0	4.74
139	125	lm	0.7338	480.0	beef	ground beef	3.0	exp_inoculated	3312	432.0	4.67
